county_id,county_name,enrollees,total_spend,hospital_snf,physician,outpatient,home_health,hospice,dme,state
1001,AL-Autauga County,4649,8498.6,3223.91,2371.46,1711.69,419.55,520.74,251.58,AL
1003,AL-Baldwin County,22607,8028.73,2809.21,2689.56,1309.54,575.77,385.12,247.73,AL
1005,AL-Barbour County,3037,8707.97,3367.89,2441.77,1522.81,538.92,613.4,255.88,AL
1007,AL-Bibb County,1839,9809.13,4100.45,2559.38,1672.08,901.38,425.74,181.96,AL
1009,AL-Blount County,4408,8921.75,3533.54,2643.92,1412.28,554.54,587.87,210.47,AL
1011,AL-Bullock County,1054,8001.13,3296.31,1999.83,1661.54,346.76,501.39,218.94,AL
1013,AL-Butler County,2932,8909.43,3501.29,1989.23,1725.72,699.24,699.43,297.59,AL
1015,AL-Calhoun County,15503,9052.59,3702.56,2662.32,1308.48,625.9,559.92,221.48,AL
1017,AL-Chambers County,4806,7429.53,2943.83,1985.94,1534.18,338.67,441.72,195.16,AL
1019,AL-Cherokee County,3068,9706.03,4118.94,2689.83,1265.79,811.61,680.28,233.23,AL
1021,AL-Chilton County,3143,9040.89,3401.13,2904.44,1126.33,738.97,717.08,185.75,AL
1023,AL-Choctaw County,2175,10462.39,4641.58,2587.85,1746.14,474.28,884.57,183.75,AL
1025,AL-Clarke County,3286,8374.63,3326.6,2170.1,1306.22,509.07,865.13,239.88,AL
1027,AL-Clay County,1983,8499.99,3478.67,2465.27,1481.87,528.16,380.32,168.83,AL
1029,AL-Cleburne County,1969,9415.78,3843.36,2499.45,1267.89,701.03,864.61,307.47,AL
1031,AL-Coffee County,6435,8097.18,2875.15,2596.69,1129.86,640.34,676.38,225.03,AL
1033,AL-Colbert County,8168,9039.83,3514.97,2574.12,1245.06,768.9,755.17,226.09,AL
1035,AL-Conecuh County,1849,9376.99,4034.48,2428.95,1353.72,688.59,559.57,320.02,AL
1037,AL-Coosa County,1532,8917.31,2687.61,2223.11,1882.89,519.45,1486.73,270.09,AL
1039,AL-Covington County,6187,8872.46,3535.33,2563.03,1334.62,797.73,433.51,220.95,AL
1041,AL-Crenshaw County,1758,8942.57,3423.63,2269.83,1687.29,544.96,762.62,256.9,AL
1043,AL-Cullman County,9991,8935.59,3429.29,2703.0,1302.14,589.9,642.46,282.89,AL
1045,AL-Dale County,5419,8717.85,3384.79,2584.94,1345.93,514.36,699.31,231.89,AL
1047,AL-Dallas County,4464,8791.63,3919.16,2244.93,1427.38,423.83,420.29,354.95,AL
1049,AL-DeKalb County,7924,8655.37,3587.88,2295.5,1315.51,687.09,598.11,224.04,AL
